,AccX,AccY,AccZ,GyoX,GyoY,GyoZ,time,isRightRoll,isWalk
160,-1.34,-3.07,0.64,110.02,119.85,17.85,0 days 00:00:29.315000000,0,1
161,-1.54,-3.22,0.48,40.87,33.42,-32.99,0 days 00:00:29.327000000,0,1
162,-0.93,-3.95,0.19,-15.39,-33.31,-0.38,0 days 00:00:29.341000000,0,1
163,-0.65,-3.72,0.16,-13.63,-92.61,-10.41,0 days 00:00:29.354000000,0,1
164,-0.86,-3.91,-0.09,-37.05,-180.63,-33.76,0 days 00:00:30.121000000,0,1
165,-0.18,-4.2,0.31,-27.5,-180.63,-52.75,0 days 00:00:30.133000000,0,1
166,-0.05,-4.04,0.57,11.15,-199.53,-43.04,0 days 00:00:30.145000000,0,1
167,0.46,-3.93,0.64,12.69,-151.39,-51.22,0 days 00:00:30.157000000,0,1
168,0.71,-4.19,0.72,31.34,-97.16,-46.82,0 days 00:00:31.037000000,0,1
169,0.5,-4.07,0.26,17.44,-95.94,-21.24,0 days 00:00:31.050000000,0,1
170,0.66,-3.86,0.14,30.29,-135.54,-8.79,0 days 00:00:31.063000000,0,1
171,0.81,-3.95,0.02,4.58,-155.24,-0.69,0 days 00:00:31.076000000,0,1
172,0.83,-3.92,-0.15,23.33,-151.71,-22.73,0 days 00:00:31.090000000,0,1
173,1.03,-4.01,-0.01,18.32,-136.69,-33.8,0 days 00:00:32.009000000,0,1
174,0.69,-3.96,0.5,35.88,-166.85,7.74,0 days 00:00:32.025000000,0,1
175,0.94,-3.7,0.58,16.66,-141.74,32.67,0 days 00:00:32.039000000,0,1
176,0.4,-3.83,0.66,19.68,-77.85,63.53,0 days 00:00:32.061000000,0,1
177,0.23,-3.95,0.57,50.4,-35.24,211.19,0 days 00:00:32.076000000,1,1
178,-2.09,-3.74,0.51,78.76,56.5,84.98,0 days 00:00:32.092000000,1,1
179,-2.34,-3.2,0.51,176.15,137.57,-13.95,0 days 00:00:33.208000000,1,1
180,-2.61,-2.73,1.67,147.83,86.58,-123.62,0 days 00:00:33.221000000,1,1
181,-1.28,-2.95,2.35,39.97,-25.22,-245.47,0 days 00:00:33.234000000,1,1
182,0.44,-2.91,2.15,-69.3,-162.35,-275.45,0 days 00:00:33.246000000,1,1
183,1.88,-3.16,1.19,-78.99,-158.66,-90.79,0 days 00:00:33.258000000,1,1
184,2.07,-3.05,-0.18,-98.0,-236.14,34.79,0 days 00:00:33.271000000,1,1
185,1.78,-4.57,-1.6,2.41,-108.61,150.82,0 days 00:00:34.359000000,1,1
186,0.0,-3.78,-1.17,68.02,3.62,230.05,0 days 00:00:34.374000000,1,1
187,-0.52,-3.41,-0.48,108.53,36.0,102.41,0 days 00:00:34.388000000,1,1
188,-1.43,-3.75,-0.14,97.82,80.79,-9.31,0 days 00:00:34.400000000,0,1
189,-1.25,-4.54,0.51,13.83,0.87,-29.79,0 days 00:00:34.412000000,0,1
190,-0.99,-3.81,0.94,6.05,1.34,-0.38,0 days 00:00:34.425000000,0,1
191,-0.92,-3.68,0.66,-0.38,5.97,-19.97,0 days 00:00:34.438000000,0,1
192,-1.11,-3.98,0.71,5.34,43.48,-52.84,0 days 00:00:35.555000000,0,1
193,-0.78,-3.73,0.06,-2.9,21.02,-32.11,0 days 00:00:35.568000000,0,1
194,-0.62,-3.89,-0.02,22.7,5.66,0.55,0 days 00:00:35.580000000,0,1
195,-0.41,-3.65,0.13,7.37,-11.88,-0.49,0 days 00:00:35.594000000,0,1
196,-0.53,-4.24,0.09,-8.58,-35.25,-3.07,0 days 00:00:35.607000000,0,1
197,-0.78,-3.43,0.52,-33.53,-39.34,-18.99,0 days 00:00:35.620000000,0,1
198,-0.41,-3.7,0.51,-0.4,-37.54,15.5,0 days 00:00:35.632000000,0,1
199,-0.35,-3.74,0.61,13.33,2.66,6.93,0 days 00:00:36.767000000,0,1
200,-0.45,-3.73,0.4,12.15,24.78,-9.56,0 days 00:00:36.782000000,0,1
201,-0.81,-3.89,-0.06,7.63,6.49,-2.26,0 days 00:00:36.794000000,0,1
202,-0.78,-3.67,0.21,14.05,-0.56,29.77,0 days 00:00:36.808000000,1,1
203,-1.08,-4.0,0.08,-1.62,-39.44,59.31,0 days 00:00:36.822000000,1,1
204,-1.42,-3.85,0.25,50.24,-40.78,87.45,0 days 00:00:36.838000000,1,1
205,-1.59,-3.77,0.83,134.9,39.4,8.53,0 days 00:00:38.237000000,1,1
206,-2.49,-2.75,1.93,154.37,82.6,-38.44,0 days 00:00:38.251000000,1,1
207,-1.49,-2.93,2.47,73.15,11.28,-186.98,0 days 00:00:38.264000000,1,1
208,-0.59,-3.06,2.76,8.49,-21.47,-270.43,0 days 00:00:38.278000000,1,1
209,1.14,-3.15,1.99,-59.71,-71.8,-213.91,0 days 00:00:38.291000000,1,1
210,2.56,-2.86,0.71,-116.49,-195.54,-66.53,0 days 00:00:38.304000000,1,1
211,2.62,-3.09,-1.08,-111.24,-259.56,90.05,0 days 00:00:38.318000000,1,1
212,1.58,-3.87,-1.75,1.91,-173.3,254.75,0 days 00:00:38.332000000,1,1
213,-0.33,-4.05,-1.61,121.69,-29.89,224.72,0 days 00:00:38.346000000,1,1
214,-2.23,-3.49,-0.08,145.21,8.49,50.63,0 days 00:00:39.676000000,1,1
215,-1.73,-3.58,0.91,69.36,47.86,0.34,0 days 00:00:39.690000000,1,1
216,-1.25,-3.48,0.87,5.3,12.47,-38.76,0 days 00:00:39.703000000,1,1
217,-1.37,-4.07,0.59,-6.29,12.6,-42.96,0 days 00:00:39.717000000,1,1
218,-1.46,-3.46,0.01,-13.1,-13.74,-15.51,0 days 00:00:39.731000000,0,1
219,-1.33,-3.6,0.04,-12.76,-41.53,6.55,0 days 00:00:39.746000000,0,1
220,-1.26,-3.62,0.05,-24.2,-75.27,-3.89,0 days 00:00:39.760000000,0,1
221,-1.01,-3.75,-0.03,-34.35,-143.45,-34.21,0 days 00:00:39.774000000,0,1
222,-1.1,-3.98,-0.09,-70.72,-167.65,-15.95,0 days 00:00:41.143000000,0,1
223,-1.24,-3.87,0.24,-42.24,-178.44,-15.66,0 days 00:00:41.160000000,0,1
224,-0.74,-3.82,0.37,-30.46,-188.56,-23.86,0 days 00:00:41.174000000,0,1
225,-0.89,-4.06,0.45,-17.97,-151.22,-14.84,0 days 00:00:41.189000000,0,1
226,-0.93,-3.65,0.06,-38.52,-135.42,-48.76,0 days 00:00:41.203000000,0,1
