,AccX,AccY,AccZ,GyoX,GyoY,GyoZ,time,isRightRoll,isWalk
154,0.03,-4.02,0.27,0.93,-6.46,0.32,0 days 00:00:27.567000000,0,0
155,0.1,-4.01,0.29,8.5,-6.18,-3.21,0 days 00:00:27.590000000,0,0
156,0.05,-3.97,0.34,6.75,-8.26,17.51,0 days 00:00:28.209000000,1,0
157,-0.21,-4.06,0.37,17.94,-28.18,93.92,0 days 00:00:28.233000000,1,0
158,-0.98,-4.19,0.42,55.68,-4.12,91.48,0 days 00:00:28.257000000,1,0
159,-1.22,-3.9,0.8,133.82,62.44,-14.72,0 days 00:00:28.280000000,1,0
160,-1.56,-3.42,1.73,151.57,63.76,-104.14,0 days 00:00:28.932000000,1,0
161,-0.5,-3.2,2.47,42.93,24.41,-201.33,0 days 00:00:28.956000000,1,0
162,0.58,-3.17,2.45,-15.88,-15.08,-177.65,0 days 00:00:28.983000000,1,0
163,1.47,-3.23,2.01,-74.29,-50.17,-122.47,0 days 00:00:29.008000000,1,0
164,2.2,-3.06,1.29,-81.01,-108.41,-43.94,0 days 00:00:29.764000000,1,0
165,2.43,-3.15,0.14,-91.33,-141.74,21.56,0 days 00:00:29.787000000,1,0
166,2.34,-3.67,-0.75,-18.37,-90.79,101.13,0 days 00:00:29.811000000,1,0
167,1.56,-3.7,-0.56,47.45,-43.1,128.12,0 days 00:00:29.835000000,1,0
168,0.15,-3.85,-0.27,64.73,-13.88,95.54,0 days 00:00:29.858000000,1,0
169,-0.02,-3.97,0.06,35.01,-2.69,17.85,0 days 00:00:30.578000000,1,0
170,-0.06,-3.94,0.26,17.11,15.62,-1.28,0 days 00:00:30.602000000,1,0
171,-0.07,-4.02,0.24,16.32,9.92,-3.85,0 days 00:00:30.627000000,1,0
172,-0.04,-3.98,0.37,17.16,-2.82,-13.88,0 days 00:00:30.650000000,0,0
173,0.01,-3.98,0.38,-1.27,-0.09,-0.46,0 days 00:00:31.406000000,0,0
174,0.02,-3.99,0.37,8.32,-4.08,-4.11,0 days 00:00:31.431000000,0,0
175,0.03,-4.05,0.4,2.7,-2.89,-2.5,0 days 00:00:31.457000000,0,0
176,-0.03,-4.01,0.37,2.6,-2.08,-4.09,0 days 00:00:31.481000000,0,0
