,AccX,AccY,AccZ,GyoX,GyoY,GyoZ,time,isOnly,isWalk
174,-1.73,-3.55,0.94,3.22,-1.79,-3.45,0 days 00:00:30.555000000,0,0
175,-1.76,-3.53,0.95,2.67,-1.74,-2.96,0 days 00:00:30.604000000,0,0
176,-1.76,-3.52,0.92,2.38,-1.08,-3.5,0 days 00:00:31.158000000,0,0
177,-1.78,-3.56,0.92,3.45,-0.96,-3.25,0 days 00:00:31.199000000,0,0
178,-1.75,-3.55,0.96,3.42,-1.69,-3.39,0 days 00:00:31.260000000,0,0
179,-1.77,-3.5,0.94,3.94,0.27,-2.79,0 days 00:00:31.300000000,0,0
180,-1.75,-3.54,0.92,2.5,-0.75,-2.66,0 days 00:00:31.900000000,0,0
181,-1.78,-3.53,0.98,3.89,-0.96,-3.02,0 days 00:00:31.940000000,0,0
182,-1.77,-3.52,0.94,2.66,-2.43,-4.5,0 days 00:00:31.980000000,0,0
183,-1.75,-3.54,0.92,2.76,-0.31,-2.5,0 days 00:00:32.012000000,0,0
184,-1.81,-3.52,0.94,3.97,-0.85,-2.5,0 days 00:00:32.615000000,0,0
185,-1.77,-3.49,0.93,2.67,-2.6,-4.87,0 days 00:00:32.669000000,0,0
186,-1.78,-3.53,0.96,4.2,-1.01,-5.25,0 days 00:00:32.729000000,0,0
187,-1.74,-3.52,0.95,3.3,-0.7,-4.03,0 days 00:00:32.774000000,0,0
188,-1.77,-3.53,0.96,3.62,-0.35,-2.76,0 days 00:00:33.380000000,0,0
189,-1.76,-3.52,0.95,4.15,0.06,-3.66,0 days 00:00:33.412000000,0,0
190,-1.76,-3.52,0.91,2.89,-2.96,-4.93,0 days 00:00:33.455000000,0,0
191,-1.76,-3.54,0.92,3.76,-0.56,-4.17,0 days 00:00:33.493000000,0,0
192,-1.74,-3.53,0.94,3.19,-1.31,-5.1,0 days 00:00:34.093000000,0,0
193,-1.73,-3.56,0.92,2.24,-2.79,-5.19,0 days 00:00:34.139000000,0,0
194,-1.7,-3.59,0.94,3.28,-1.47,-3.54,0 days 00:00:34.171000000,0,0
195,-1.71,-3.57,0.92,2.85,-0.55,-2.09,0 days 00:00:34.205000000,0,0
196,-1.71,-3.58,0.92,3.8,0.72,-2.9,0 days 00:00:34.868000000,0,0
197,-1.7,-3.56,0.95,3.59,-0.96,-3.39,0 days 00:00:34.922000000,0,0
198,-1.73,-3.57,0.94,2.87,-1.11,-2.44,0 days 00:00:34.952000000,0,0
199,-1.71,-3.54,0.91,3.5,-0.09,-2.52,0 days 00:00:34.986000000,0,0
