,AccX,AccY,AccZ,GyoX,GyoY,GyoZ,time,isRightLean,isWalk
152,-0.36,-4.08,0.14,2.21,26.9,14.23,0 days 00:00:27.260000000,0,1
153,-0.23,-3.81,0.24,9.88,5.88,9.56,0 days 00:00:28.057000000,1,1
154,-0.58,-3.86,0.15,-6.23,-34.44,-0.14,0 days 00:00:28.074000000,1,1
155,-0.43,-3.98,0.31,6.44,-18.52,-26.24,0 days 00:00:28.093000000,1,1
156,-0.52,-3.76,0.63,16.2,-16.18,-20.64,0 days 00:00:28.106000000,1,1
157,-0.36,-4.04,0.59,48.67,2.18,-5.95,0 days 00:00:28.124000000,1,1
158,-0.33,-3.54,1.27,187.05,94.87,-15.73,0 days 00:00:29.042000000,1,1
159,-0.54,-3.64,2.98,37.51,56.24,-17.45,0 days 00:00:29.057000000,1,1
160,-0.69,-3.56,1.9,-101.85,-48.64,-16.56,0 days 00:00:29.071000000,1,1
161,-0.19,-4.45,0.78,-107.48,-41.63,21.39,0 days 00:00:29.083000000,1,1
162,-0.28,-4.0,0.22,-60.0,-36.29,5.01,0 days 00:00:29.097000000,1,1
163,-0.61,-3.98,0.11,-10.75,-44.98,5.47,0 days 00:00:29.912000000,0,1
164,-0.46,-4.4,0.43,-5.89,-42.98,1.98,0 days 00:00:29.928000000,0,1
165,-0.58,-4.08,0.78,8.15,-23.11,22.17,0 days 00:00:29.944000000,0,1
166,-0.34,-3.85,0.72,4.78,-16.38,1.22,0 days 00:00:29.956000000,0,1
167,-0.49,-3.95,0.83,14.72,1.31,-2.95,0 days 00:00:29.971000000,0,1
168,-0.4,-4.65,0.54,-6.09,-11.08,-8.43,0 days 00:00:30.914000000,0,1
169,-0.62,-4.07,0.35,10.99,-10.49,2.82,0 days 00:00:30.931000000,0,1
170,-0.58,-3.83,0.34,1.56,-35.19,-0.31,0 days 00:00:30.948000000,0,1
171,-0.48,-3.78,0.29,-17.77,-63.44,-7.11,0 days 00:00:30.962000000,0,1
172,-0.44,-3.77,0.42,-20.63,-85.74,-25.51,0 days 00:00:30.977000000,0,1
173,-0.73,-3.92,0.5,-29.85,-107.6,5.94,0 days 00:00:30.990000000,0,1
174,-0.35,-4.06,0.56,-9.22,-137.48,-10.52,0 days 00:00:32.003000000,0,1
175,-0.58,-3.99,0.65,2.14,-122.78,-21.92,0 days 00:00:32.018000000,0,1
176,-0.23,-4.15,0.48,4.05,-90.2,-25.36,0 days 00:00:32.033000000,0,1
177,-0.33,-4.0,0.16,-0.79,-93.45,-3.27,0 days 00:00:32.046000000,0,1
178,0.07,-3.99,0.07,-7.76,-111.73,-5.59,0 days 00:00:32.059000000,0,1
179,-0.08,-3.9,0.1,-7.16,-109.89,-4.31,0 days 00:00:32.073000000,0,1
180,-0.15,-4.21,0.05,-4.78,-120.84,-8.14,0 days 00:00:33.398000000,1,1
181,-0.19,-4.17,0.28,-3.56,-154.76,-9.47,0 days 00:00:33.433000000,1,1
182,0.46,-4.93,0.36,96.9,-112.72,-14.84,0 days 00:00:33.447000000,1,1
183,-0.01,-3.21,1.76,232.35,11.07,20.02,0 days 00:00:33.461000000,1,1
184,-0.83,-3.04,2.96,30.95,-48.76,31.83,0 days 00:00:33.476000000,1,1
185,-0.25,-3.14,2.64,-94.67,-92.43,18.55,0 days 00:00:33.493000000,1,1
186,0.12,-3.99,1.55,-123.25,-66.99,-4.37,0 days 00:00:33.516000000,1,1
187,-0.06,-4.34,0.49,-99.66,-52.29,-30.67,0 days 00:00:33.552000000,1,1
188,0.04,-4.03,-0.07,-36.37,-44.58,19.8,0 days 00:00:34.830000000,1,1
189,0.14,-3.82,-0.03,-11.95,-32.67,7.77,0 days 00:00:34.847000000,1,1
190,0.11,-4.11,-0.2,5.33,-53.79,-15.97,0 days 00:00:34.865000000,1,1
191,-0.21,-3.79,0.17,13.88,-47.47,0.26,0 days 00:00:34.881000000,1,1
192,-0.16,-3.99,0.48,14.37,-32.31,12.92,0 days 00:00:34.910000000,0,1
193,0.26,-4.22,0.47,11.59,-4.18,-2.15,0 days 00:00:34.931000000,0,1
194,-0.23,-4.01,0.54,0.87,24.7,-3.94,0 days 00:00:34.949000000,0,1
195,0.01,-4.14,0.38,17.94,-9.16,-7.89,0 days 00:00:34.964000000,0,1
196,-0.05,-4.14,0.27,23.24,-9.77,9.54,0 days 00:00:36.318000000,0,1
197,0.23,-3.88,0.25,-4.73,18.7,0.29,0 days 00:00:36.334000000,0,1
198,-0.05,-3.68,0.13,-6.34,18.38,1.36,0 days 00:00:36.348000000,0,1
199,-0.04,-3.8,0.27,14.9,-13.42,-18.89,0 days 00:00:36.366000000,0,1
200,-0.22,-3.81,0.64,2.12,-28.7,-13.37,0 days 00:00:36.382000000,0,1
201,-0.19,-3.77,0.71,-2.37,-6.67,1.74,0 days 00:00:36.396000000,0,1
202,-0.11,-3.87,0.78,5.89,-12.7,-2.85,0 days 00:00:36.416000000,0,1
203,-0.03,-4.05,0.53,-9.02,17.39,-6.92,0 days 00:00:36.431000000,0,1
204,-0.02,-4.04,0.1,23.48,-1.44,-23.98,0 days 00:00:37.759000000,1,1
205,-0.55,-3.96,0.22,35.3,22.98,18.14,0 days 00:00:37.774000000,1,1
206,-0.06,-3.95,0.52,168.52,89.02,-36.87,0 days 00:00:37.788000000,1,1
207,0.06,-3.54,2.29,132.35,49.79,-22.44,0 days 00:00:37.801000000,1,1
208,-0.56,-3.03,2.58,-23.28,-56.72,-11.97,0 days 00:00:37.815000000,1,1
209,-0.2,-3.13,1.88,-138.02,-78.98,23.31,0 days 00:00:37.828000000,1,1
210,0.35,-4.09,1.0,-106.52,-49.77,6.76,0 days 00:00:37.841000000,1,1
211,0.3,-4.99,0.56,-39.92,14.46,-3.85,0 days 00:00:37.855000000,1,1
212,-0.17,-3.95,0.07,3.89,18.76,-14.67,0 days 00:00:39.309000000,1,1
213,-0.36,-3.73,0.11,7.02,16.81,6.56,0 days 00:00:39.324000000,1,1
214,-0.11,-3.8,0.15,4.38,5.98,2.43,0 days 00:00:39.339000000,1,1
215,-0.04,-4.06,0.21,2.21,-23.39,-13.82,0 days 00:00:39.353000000,0,1
216,-0.45,-3.6,0.48,0.87,-17.19,0.66,0 days 00:00:39.368000000,0,1
217,-0.6,-3.78,0.62,1.45,-32.43,6.4,0 days 00:00:39.381000000,0,1
218,-0.31,-3.68,0.72,3.62,-11.02,8.35,0 days 00:00:39.396000000,0,1
219,-0.06,-4.43,0.49,-27.8,25.05,-21.15,0 days 00:00:39.410000000,0,1
220,-0.4,-3.98,0.0,1.88,12.47,-2.08,0 days 00:00:39.427000000,0,1
221,-0.91,-3.82,0.16,4.98,-6.34,22.14,0 days 00:00:40.928000000,0,1
222,-0.7,-3.74,0.08,-12.98,-45.97,7.86,0 days 00:00:40.944000000,0,1
223,-0.54,-3.94,-0.11,-5.69,-72.89,-18.44,0 days 00:00:40.958000000,0,1
224,-0.96,-4.06,0.41,-9.79,-85.22,4.44,0 days 00:00:40.973000000,0,1
