,AccX,AccY,AccZ,GyoX,GyoY,GyoZ,time,isLeft,isWalk
183,0.21,-4.25,0.02,-6.66,374.78,16.64,0 days 00:00:32.738000000,1,1
184,-1.64,-3.77,-0.03,36.17,242.26,36.99,0 days 00:00:33.834000000,1,1
185,-1.03,-3.81,0.28,3.05,52.98,10.38,0 days 00:00:33.848000000,1,1
186,-1.14,-3.76,0.2,-4.46,6.66,6.08,0 days 00:00:33.862000000,1,1
187,-1.0,-4.14,0.35,-8.2,-47.69,-22.08,0 days 00:00:33.874000000,1,1
188,-0.91,-3.74,0.63,-11.36,-38.12,-12.14,0 days 00:00:33.887000000,1,1
189,-0.85,-3.86,0.57,-11.11,-6.09,-11.19,0 days 00:00:33.898000000,1,1
190,-0.73,-3.9,0.6,10.06,13.01,0.73,0 days 00:00:34.967000000,0,1
191,-0.69,-3.82,0.41,9.73,35.76,-16.47,0 days 00:00:34.981000000,0,1
192,-1.01,-4.08,0.06,14.09,12.37,-2.96,0 days 00:00:34.992000000,0,1
193,-1.16,-3.94,0.02,10.46,15.47,28.81,0 days 00:00:35.005000000,0,1
194,-0.8,-3.67,0.17,2.11,5.97,12.78,0 days 00:00:35.017000000,0,1
195,-1.27,-3.81,0.03,-11.69,-54.56,13.76,0 days 00:00:35.029000000,0,1
196,-1.14,-3.99,0.34,-5.11,-67.07,-8.73,0 days 00:00:35.041000000,0,1
197,-1.38,-3.82,0.54,-33.01,-60.02,-4.52,0 days 00:00:36.132000000,0,1
198,-0.93,-3.74,0.56,-19.42,-48.58,-11.44,0 days 00:00:36.144000000,0,1
199,-1.07,-3.81,0.58,-1.18,-13.54,-11.13,0 days 00:00:36.156000000,0,1
200,-1.0,-3.99,0.11,-15.51,-29.82,-20.09,0 days 00:00:36.168000000,0,1
201,-1.27,-3.75,0.12,-2.53,-33.62,-10.96,0 days 00:00:36.181000000,0,1
202,-0.86,-3.79,-0.14,-21.05,-85.13,-30.92,0 days 00:00:36.192000000,0,1
203,-0.82,-3.83,-0.08,-12.21,-97.22,-6.44,0 days 00:00:37.367000000,0,1
204,-0.85,-3.8,-0.03,-26.35,-118.64,-5.44,0 days 00:00:37.382000000,0,1
205,-1.07,-3.91,0.1,-41.8,-149.48,4.06,0 days 00:00:37.394000000,0,1
206,-1.09,-3.91,0.16,-49.59,-154.05,-11.51,0 days 00:00:37.407000000,0,1
207,-0.99,-3.79,0.24,-33.94,-156.21,-20.18,0 days 00:00:37.421000000,0,1
208,-1.03,-3.75,0.37,-23.16,-125.21,-14.31,0 days 00:00:37.434000000,0,1
209,-0.78,-3.94,0.28,-19.85,-124.32,-22.99,0 days 00:00:37.448000000,0,1
210,-0.82,-3.86,0.18,-9.66,-80.47,-25.85,0 days 00:00:38.844000000,1,1
211,-1.14,-4.04,0.18,10.23,-77.15,-28.5,0 days 00:00:38.857000000,1,1
212,-1.91,-4.16,-0.27,36.26,-369.98,-60.27,0 days 00:00:38.869000000,1,1
213,1.89,-3.93,0.43,3.31,-387.36,-11.69,0 days 00:00:38.882000000,1,1
214,0.47,-4.29,0.2,-28.21,198.38,47.45,0 days 00:00:38.894000000,1,1
215,-0.91,-3.71,-0.02,-0.81,187.25,16.26,0 days 00:00:38.907000000,1,1
216,-0.88,-4.22,-0.02,-18.69,3.86,1.36,0 days 00:00:38.919000000,1,1
217,-0.72,-3.64,0.24,-18.02,-60.73,-8.72,0 days 00:00:38.932000000,1,1
218,-0.78,-3.92,0.13,-8.67,-57.89,-13.51,0 days 00:00:40.248000000,1,1
219,-0.82,-3.61,0.18,3.05,-26.67,7.94,0 days 00:00:40.262000000,1,1
220,-0.63,-4.34,0.27,22.47,10.23,-2.89,0 days 00:00:40.275000000,1,1
221,-0.76,-3.95,0.09,24.95,17.39,-5.86,0 days 00:00:40.289000000,0,1
222,-1.04,-3.96,0.04,13.3,36.03,9.16,0 days 00:00:40.302000000,0,1
223,-0.73,-3.84,0.05,7.05,2.09,0.89,0 days 00:00:40.315000000,0,1
224,-0.94,-3.96,0.05,-3.88,-29.88,4.56,0 days 00:00:40.327000000,0,1
225,-1.11,-4.05,0.2,-5.6,-25.56,-10.66,0 days 00:00:40.340000000,0,1
226,-0.98,-3.95,0.51,-15.39,-26.67,-8.05,0 days 00:00:41.765000000,0,1
227,-0.64,-3.88,0.42,-3.04,-11.45,-8.17,0 days 00:00:41.781000000,0,1
228,-0.82,-3.78,0.39,-0.99,5.83,-6.32,0 days 00:00:41.793000000,0,1
229,-0.77,-4.12,0.27,11.16,16.63,-15.95,0 days 00:00:41.807000000,0,1
