,AccX,AccY,AccZ,GyoX,GyoY,GyoZ,time,isDown,isWalk
208,-0.67,-3.87,0.49,-18.84,-90.63,-24.24,0 days 00:00:37.357000000,0,1
209,-0.81,-3.95,0.18,-6.63,-47.77,-12.78,0 days 00:00:38.675000000,0,1
210,-0.82,-3.84,-0.08,12.05,-21.42,-14.38,0 days 00:00:38.697000000,0,1
211,-0.74,-3.8,-0.02,5.11,-20.18,4.61,0 days 00:00:38.713000000,0,1
212,-0.86,-3.81,0.04,-5.76,-40.21,5.85,0 days 00:00:38.731000000,0,1
213,-0.74,-4.08,0.09,-3.48,-56.31,-13.4,0 days 00:00:38.747000000,0,1
214,-1.04,-3.9,0.29,-8.11,-60.53,-1.73,0 days 00:00:38.763000000,1,1
215,-1.12,-4.21,0.51,-6.82,-35.85,-12.23,0 days 00:00:38.779000000,1,1
216,-0.24,-3.88,0.58,10.02,-8.35,21.5,0 days 00:00:38.795000000,1,1
217,-0.9,-2.87,0.63,-1.6,27.37,320.24,0 days 00:00:40.777000000,1,1
218,-4.44,-3.49,-0.23,17.79,33.6,13.77,0 days 00:00:40.796000000,1,1
219,-1.93,-3.23,-0.08,30.34,0.12,-190.29,0 days 00:00:40.813000000,1,1
220,-1.11,-3.79,0.14,10.53,7.65,-118.34,0 days 00:00:40.830000000,1,1
221,-0.61,-3.84,0.1,-3.76,-18.08,-25.91,0 days 00:00:40.852000000,1,1
222,-0.42,-4.13,-0.09,-6.84,-26.72,-48.81,0 days 00:00:40.872000000,1,1
223,-0.47,-3.92,0.19,8.03,-40.98,4.55,0 days 00:00:40.889000000,1,1
224,-0.6,-4.27,0.34,1.53,-25.22,21.76,0 days 00:00:40.916000000,0,1
225,-0.38,-3.9,0.5,0.14,0.41,-6.69,0 days 00:00:40.946000000,0,1
226,-0.35,-3.89,0.41,2.9,19.6,-25.5,0 days 00:00:40.965000000,0,1
227,-0.15,-4.16,0.13,-4.37,12.72,-2.37,0 days 00:00:40.983000000,0,1
