,AccX,AccY,AccZ,GyoX,GyoY,GyoZ,time,isLeftLean,isWalk
169,-0.46,-3.89,0.63,5.27,-25.1,14.02,0 days 00:00:30.444000000,0,1
170,-0.17,-3.9,0.68,2.75,16.21,-3.73,0 days 00:00:30.457000000,0,1
171,-0.41,-4.33,0.59,-1.63,30.12,-22.73,0 days 00:00:30.469000000,0,1
172,-0.47,-3.91,0.41,13.59,34.66,-5.05,0 days 00:00:31.300000000,0,1
173,-0.39,-4.2,0.32,9.04,31.5,25.36,0 days 00:00:31.315000000,0,1
174,-0.45,-3.78,0.28,-5.22,2.11,7.42,0 days 00:00:31.331000000,0,1
175,-0.36,-3.97,0.05,-2.0,-22.58,-3.3,0 days 00:00:31.344000000,0,1
176,-0.52,-4.23,0.35,3.74,-38.64,-6.32,0 days 00:00:31.357000000,0,1
177,-0.35,-4.24,0.6,-19.05,-59.04,-3.37,0 days 00:00:32.284000000,0,1
178,-0.33,-3.76,0.62,-5.56,-33.85,-12.84,0 days 00:00:32.297000000,0,1
179,-0.37,-3.97,0.72,11.63,-30.09,-2.4,0 days 00:00:32.311000000,0,1
180,-0.22,-4.18,0.62,-6.95,-31.77,-24.05,0 days 00:00:32.324000000,0,1
181,-0.43,-3.79,0.41,2.17,-47.07,-22.56,0 days 00:00:32.336000000,0,1
182,-0.33,-4.03,0.14,-19.95,-110.87,-8.29,0 days 00:00:33.271000000,1,1
183,-0.22,-3.71,0.08,-22.58,-147.31,-19.69,0 days 00:00:33.287000000,1,1
184,-0.12,-3.86,-0.1,-22.85,-187.5,-17.83,0 days 00:00:33.301000000,1,1
185,-0.13,-3.71,-0.23,-79.28,-234.02,-42.43,0 days 00:00:33.315000000,1,1
186,0.07,-4.38,-1.14,-123.11,-260.52,-33.15,0 days 00:00:33.329000000,1,1
187,-0.24,-3.76,-1.42,-30.23,-173.8,-49.95,0 days 00:00:33.361000000,1,1
188,0.09,-3.97,-1.31,23.53,-70.24,-47.83,0 days 00:00:34.260000000,1,1
189,0.29,-3.77,-0.79,65.37,13.02,-28.98,0 days 00:00:34.273000000,1,1
190,0.18,-4.33,-0.47,103.91,23.28,-16.78,0 days 00:00:34.285000000,1,1
191,-0.21,-3.88,-0.04,60.53,32.72,2.47,0 days 00:00:34.297000000,1,1
192,-0.11,-4.01,-0.05,14.99,-49.76,5.21,0 days 00:00:34.309000000,1,1
193,-0.11,-3.75,0.06,2.84,-71.36,-11.76,0 days 00:00:35.222000000,0,1
194,-0.14,-4.08,-0.06,-1.82,-92.89,-8.11,0 days 00:00:35.237000000,0,1
195,-0.13,-4.27,0.06,-3.15,-128.06,-9.33,0 days 00:00:35.251000000,0,1
196,-0.16,-4.24,0.4,-6.21,-127.59,10.41,0 days 00:00:35.265000000,0,1
197,-0.02,-4.04,0.61,6.75,-55.91,-6.84,0 days 00:00:35.277000000,0,1
198,0.09,-3.84,0.68,6.92,-20.61,-11.95,0 days 00:00:36.281000000,0,1
199,-0.01,-4.24,0.13,-11.51,-3.34,-24.11,0 days 00:00:36.297000000,0,1
