,AccX,AccY,AccZ,GyoX,GyoY,GyoZ,time,isRight,isWalk
194,-0.45,-4.31,0.21,-7.21,-22.84,-3.37,0 days 00:00:35.338000000,1,1
195,-0.33,-3.38,0.73,-8.9,-65.82,-35.31,0 days 00:00:35.453000000,1,1
196,1.29,-3.32,0.76,-12.02,110.26,13.4,0 days 00:00:35.564000000,1,1
197,-0.31,-3.35,-0.89,17.92,500.26,5.16,0 days 00:00:35.679000000,1,1
198,-2.16,-4.59,0.24,34.81,-159.92,18.2,0 days 00:00:35.804000000,1,1
199,-0.28,-3.99,-0.15,-18.35,-334.93,5.77,0 days 00:00:35.920000000,1,1
200,-0.44,-3.57,0.29,-27.33,-148.26,11.54,0 days 00:00:36.031000000,1,1
201,-0.97,-3.86,0.08,-46.79,-65.31,21.51,0 days 00:00:36.146000000,1,1
202,-0.69,-4.21,0.01,-46.9,-109.59,11.6,0 days 00:00:36.269000000,0,1
203,-1.07,-3.66,0.07,-57.1,-123.15,13.1,0 days 00:00:36.462000000,0,1
204,-0.66,-3.49,0.19,-55.76,-84.5,-25.18,0 days 00:00:36.608000000,0,1
205,-1.07,-3.67,0.22,-6.84,-78.34,-6.05,0 days 00:00:36.751000000,0,1
206,-1.26,-4.08,0.31,12.06,-37.71,-21.1,0 days 00:00:38.121000000,0,1
207,-1.46,-3.69,-0.21,-12.73,-92.96,-2.17,0 days 00:00:38.233000000,0,1
208,-1.41,-3.75,-0.06,-26.34,-110.85,5.24,0 days 00:00:38.347000000,0,1
209,-1.27,-3.71,-0.1,-43.63,-133.76,2.66,0 days 00:00:38.460000000,0,1
210,-1.46,-3.59,-0.07,-55.42,-157.59,-2.56,0 days 00:00:38.573000000,0,1
211,-1.35,-3.77,0.1,-47.53,-152.99,-11.53,0 days 00:00:38.685000000,0,1
212,-1.29,-3.89,0.32,-55.31,-164.24,-12.26,0 days 00:00:38.804000000,0,1
213,-1.13,-3.68,0.44,-39.73,-114.5,-15.94,0 days 00:00:38.918000000,0,1
214,-1.14,-3.77,0.44,-22.53,-82.7,-15.15,0 days 00:00:39.029000000,0,1
215,-1.18,-3.77,0.3,-2.23,-48.37,-30.81,0 days 00:00:39.143000000,0,1
216,-1.39,-3.82,0.01,7.11,-52.41,-17.39,0 days 00:00:39.254000000,0,1
217,-1.12,-3.78,0.22,-1.28,-14.55,0.56,0 days 00:00:39.368000000,0,1
218,-1.1,-3.51,0.16,-18.93,-21.94,-7.44,0 days 00:00:39.486000000,0,1
219,-1.2,-3.98,-0.01,-13.28,-39.85,-23.34,0 days 00:00:39.603000000,1,1
220,-0.92,-3.79,0.36,-19.28,-39.79,-23.11,0 days 00:00:39.718000000,1,1
221,-0.93,-3.67,0.48,2.53,-18.2,-12.61,0 days 00:00:39.838000000,1,1
222,-1.09,-3.69,0.57,11.02,6.7,-15.86,0 days 00:00:39.981000000,1,1
223,-0.77,-3.78,0.38,28.29,40.21,-44.23,0 days 00:00:40.104000000,1,1
224,0.22,-3.85,-0.98,45.48,435.34,-0.69,0 days 00:00:40.223000000,1,1
225,-3.83,-3.82,-0.41,44.58,170.95,55.19,0 days 00:00:42.061000000,1,1
226,-1.02,-3.7,-0.51,-21.59,-377.51,6.69,0 days 00:00:42.186000000,1,1
227,0.23,-4.23,0.23,-37.97,-273.53,-9.42,0 days 00:00:42.302000000,1,1
228,-0.91,-3.7,0.61,-34.38,-61.51,9.13,0 days 00:00:42.417000000,1,1
229,-0.96,-3.79,0.59,-7.95,-5.66,16.84,0 days 00:00:42.535000000,1,1
230,-0.84,-3.36,0.61,9.68,20.15,-12.17,0 days 00:00:42.652000000,0,1
231,-0.97,-3.78,0.19,6.03,51.71,-37.47,0 days 00:00:42.770000000,0,1
232,-1.15,-3.83,-0.17,27.3,34.78,0.11,0 days 00:00:42.884000000,0,1
233,-0.94,-3.66,0.06,18.99,20.23,7.36,0 days 00:00:43.002000000,0,1
